time,res_line/LINE1/i_to_ka
63025,0.0475431
63026,0.0503711
63034,0.0532038
63047,0.0560212
63050,0.0588422
63054,0.0616668
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63060,0.0535001
63089,0.0563383
63092,0.0591753
63095,0.0620153
63096,0.0648616
63099,0.0705736
63099,0.0705736
63102,0.0734448
63107,0.0763001
63111,0.0763009
63111,0.0763009
63112,0.073443
63113,0.0763083
63114,0.0791743
63118,0.0820427
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63120,0.0784603
63133,0.0756228
63136,0.072789
63140,0.0699589
63141,0.0727942
63147,0.0756534
63148,0.0785175
63155,0.0813616
63156,0.084233
63158,0.0870836
63159,0.0899321
63169,0.0927775
63171,0.0956317
63172,0.098483
63175,0.0955843
63176,0.098437
63177,0.101297
63178,0.0984087
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63180,0.0966116
63181,0.0937308
63182,0.0908537
63185,0.0851057
63185,0.0851057
63188,0.0822374
63191,0.0850943
63193,0.0822227
63197,0.0793594
63199,0.0765041
63200,0.0736514
63204,0.0708038
63208,0.0736558
63210,0.0793597
63210,0.0793597
63211,0.0822257
63213,0.0879603
63213,0.0879603
63214,0.0965977
63214,0.0965977
63214,0.0965977
63216,0.099447
63217,0.102331
63218,0.105222
63221,0.116774
63221,0.116774
63221,0.116774
63221,0.116774
63224,0.1197
63225,0.122592
63227,0.122605
63227,0.122605
63228,0.125521
63229,0.128444
63231,0.131348
63233,0.134283
63235,0.137227
63236,0.143082
63236,0.143082
63237,0.145972
63240,0.154695
63240,0.154695
63240,0.154695
63240,0.154695
63240,0.154695
